tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,cleaned_text,processed_text,original_word_count,cleaned_word_count,processed_word_count,ner_pos,neg,neu,pos,compound,cluster
119237,105834,True,Wed Oct 11 06:55:44 +0000 2017,@AppleSupport causing the reply to be disregarded and the tapped notification under the keyboard is opened😡😡😡,119236,,causing the reply to be disregarded and the tapped notification under the keyboard is opened,causing reply disregarded tapped ratification keyboard opened,16,15,7,"([], [('causing', 'VERB'), ('reply', 'NOUN'), ('disregarded', 'VERB'), ('tapped', 'VERB'), ('ratification', 'NOUN'), ('keyboard', 'NOUN'), ('opened', 'VERB')])",0.302,0.698,0.0,-0.3818,4
119238,ChaseSupport,False,Wed Oct 11 13:25:49 +0000 2017,"@105835 Your business means a lot to us. Please DM your name, zip code and additional details about your concern. ^RR https://t.co/znUu1VJn9r",,119239.0,your business means a lot to us please dm your name zip code and additional details about your concern,business mean lot u please name zip code additional detail concern,22,19,11,"([], [('business', 'NOUN'), ('mean', 'VERB'), ('lot', 'NOUN'), ('u', 'PRON'), ('please', 'INTJ'), ('name', 'VERB'), ('zip', 'NOUN'), ('code', 'NOUN'), ('additional', 'ADJ'), ('detail', 'NOUN'), ('concern', 'NOUN')])",0.0,0.813,0.187,0.3182,4
119239,105835,True,Wed Oct 11 13:00:09 +0000 2017,@76328 I really hope you all change but I'm sure you won't! Because you don't have to!,119238,,i really hope you all change but i am sure you will not because you do not have to,really hope change sure,17,19,4,"([], [('really', 'ADV'), ('hope', 'AUX'), ('change', 'VERB'), ('sure', 'ADJ')])",0.0,0.258,0.742,0.6962,4
119240,VirginTrains,False,Tue Oct 10 15:16:08 +0000 2017,"@105836 LiveChat is online at the moment - https://t.co/SY94VtU8Kq or contact 03331 031 031 option 1, 4, 3 (Leave a message) to request a call back",119241,119242.0,livechat is online at the moment or contact option leave a message to request a call back,livechat online moment contact option leave message request call back,26,17,10,"([], [('livechat', 'DET'), ('online', 'ADJ'), ('moment', 'NOUN'), ('contact', 'NOUN'), ('option', 'NOUN'), ('leave', 'VERB'), ('message', 'NOUN'), ('request', 'NOUN'), ('call', 'VERB'), ('back', 'ADV')])",0.118,0.882,0.0,-0.0516,4
119241,105836,True,Tue Oct 10 15:17:21 +0000 2017,@VirginTrains see attached error message. I've tried leaving a voicemail several times in the past week https://t.co/NxVZjlYx1k,119243,119240.0,see attached error message i have tried leaving a voicemail several times in the past week,see attached error message tried leaving voicemail several time past week,17,16,11,"([('several time past week', 'DATE')], [('see', 'VERB'), ('attached', 'VERB'), ('error', 'NOUN'), ('message', 'NOUN'), ('tried', 'VERB'), ('leaving', 'VERB'), ('voicemail', 'NOUN'), ('several', 'ADJ'), ('time', 'NOUN'), ('past', 'ADP'), ('week', 'NOUN')])",0.213,0.787,0.0,-0.4019,4
119243,VirginTrains,False,Tue Oct 10 15:25:14 +0000 2017,"@105836 Have you tried from another device, Miriam ^MM",119244,119241.0,have you tried from another device miriam mm,tried another device miriam mm,9,8,5,,0.0,1.0,0.0,0.0,4
119244,105836,True,Tue Oct 10 15:26:44 +0000 2017,"@VirginTrains yep, I've tried laptop too several times over the past week and again today. I've tried different browsers too",119245,119243.0,yep i have tried laptop too several times over the past week and again today i have tried different browsers too,yep tried lawton several time past week today tried different brother,20,21,11,,0.0,0.82,0.18,0.296,4
119245,VirginTrains,False,Tue Oct 10 15:33:22 +0000 2017,"@105836 It's working OK from here, Miriam. Does this link help https://t.co/0m2mpH15eh ? ^MM",,119244.0,it is working ok from here miriam does this link help mm,working ok miriam link help mm,14,12,6,,0.0,0.449,0.551,0.5994,4
119242,105836,True,Tue Oct 10 15:09:00 +0000 2017,@VirginTrains I still haven't heard &amp; the number I'm directed to by phone is a dead end &amp; the live chat doesn't work. Can someone call me?,119240,119246.0,i still have not heard amp the number i am directed to by phone is a dead end amp the live chat does not work can someone call me,still heard amp number directed phone dead end amp live chat work someone call,27,29,14,,0.244,0.682,0.074,-0.6124,4
119246,VirginTrains,False,Tue Oct 10 10:13:19 +0000 2017,@105836 That's what we're here for Miriam 😊  The team should send you an email shortly ^HP,119242,119247.0,that is what we are here for miriam the team should send you an email shortly hp,miriam team send email shortly,17,17,5,,0.0,1.0,0.0,0.0,4
